minute,output
609,0.7429645569627911
610,0.7454667575036745
611,0.747957927864318
612,0.7504377552809882
613,0.7529059269899526
614,0.7553621302274772
615,0.7578060522298298
616,0.7602373802332767
617,0.7626558014740848
618,0.7650610031885213
619,0.7674526726128529
620,0.7698304969833468
621,0.7721941635362694
622,0.774543359507888
623,0.7768777721344692
624,0.7791970886522803
625,0.7815009962975878
626,0.783789182306659
627,0.7860613339157602
628,0.7883171383611591
629,0.7905562828791217
630,0.7927784547059157
631,0.7949833410778078
632,0.7971706292310644
633,0.799340006401953
634,0.8014911598267401
635,0.8036237767416929
636,0.805737544383078
637,0.8078321499871627
638,0.8099072807902135
639,0.8119626240284974
640,0.8139978669382814
641,0.8160126967558324
642,0.8180068007174173
643,0.8199798660593028
644,0.821931580017756
645,0.823861629829044
646,0.8257697027294333
647,0.8276554859551909
648,0.8295186667425839
649,0.8313589323278788
650,0.833175969947343
651,0.8349694668372429
652,0.836739110233846
653,0.8384845873734186
654,0.840205585492228
655,0.8419017918265407
656,0.8435728936126242
657,0.8452185780867447
658,0.8468385324851697
659,0.8484324440441658
660,0.85
661,0.8515409616913504
662,0.8530553868665396
663,0.8545434073763025
664,0.8560051550713726
665,0.8574407618024846
666,0.8588503594203724
667,0.8602340797757703
668,0.8615920547194122
669,0.8629244161020326
670,0.8642312957743656
671,0.8655128255871456
672,0.8667691373911062
673,0.8680003630369822
674,0.8692066343755074
675,0.8703880832574162
676,0.8715448415334426
677,0.8726770410543208
678,0.8737848136707853
679,0.8748682912335697
680,0.8759276055934088
681,0.8769628886010363
682,0.8779742721071866
683,0.8789618879625939
684,0.8799258680179923
685,0.8808663441241161
686,0.8817834481316995
687,0.8826773118914764
688,0.8835480672541813
689,0.8843958460705481
690,0.8852207801913113
691,0.8860230014672049
692,0.886802641748963
693,0.8875598328873199
694,0.8882947067330098
695,0.889007395136767
696,0.8896980299493253
697,0.8903667430214192
698,0.8910136662037829
699,0.8916389313471502
700,0.8922426703022558
701,0.8928250149198336
702,0.8933860970506178
703,0.8939260485453426
704,0.8944450012547421
705,0.8949430870295508
706,0.8954204377205025
707,0.8958771851783316
708,0.8963134612537722
709,0.8967293977975584
710,0.8971251266604245
711,0.8975007796931049
712,0.8978564887463334
713,0.8981923856708444
714,0.8985086023173717
715,0.8988052705366502
716,0.8990825221794134
717,0.8993404890963957
718,0.8995793031383317
719,0.8997990961559549
720,0.9
721,0.9001821350691743
722,0.9003455759540785
723,0.900490385793287
724,0.9006166277253739
725,0.9007243648889132
726,0.9008136604224791
727,0.9008845774646459
728,0.9009371791539874
729,0.9009715286290781
730,0.9009876890284922
731,0.9009857234908035
732,0.9009656951545865
733,0.900927667158415
734,0.9008717026408632
735,0.9007978647405056
736,0.9007062165959161
737,0.9005968213456688
738,0.900469742128338
739,0.9003250420824976
740,0.9001627843467221
741,0.8999830320595854
742,0.8997858483596619
743,0.8995712963855252
744,0.8993394392757501
745,0.8990903401689105
746,0.8988240622035804
747,0.8985406685183341
748,0.8982402222517456
749,0.8979227865423892
750,0.897588424528839
751,0.8972371993496693
752,0.8968691741434539
753,0.8964844120487673
754,0.8960829762041834
755,0.8956649297482765
756,0.8952303358196207
757,0.8947792575567903
758,0.8943117580983592
759,0.8938279005829016
760,0.8933277481489917
761,0.8928113639352037
762,0.8922788110801118
763,0.8917301527222897
764,0.8911654520003122
765,0.890584772052753
766,0.8899881760181864
767,0.8893757270351866
768,0.8887474882423276
769,0.8881035227781837
770,0.8874438937813289
771,0.8867686643903376
772,0.8860778977437838
773,0.8853716569802415
774,0.8846500052382851
775,0.8839130056564887
776,0.883160721373426
777,0.8823932155276719
778,0.8816105512578
779,0.8808127917023847
780,0.88
781,0.8791722109949156
782,0.8783293463541831
783,0.8774712994505494
784,0.8765979636567617
785,0.8757092323455665
786,0.8748049988897114
787,0.8738851566619429
788,0.8729495990350085
789,0.8719982193816546
790,0.8710309110746287
791,0.8700475674866776
792,0.8690480819905484
793,0.8680323479589879
794,0.8670002587647433
795,0.8659517077805614
796,0.8648865883791893
797,0.8638047939333743
798,0.8627062178158629
799,0.8615907533994024
800,0.8604582940567397
801,0.8593087331606217
802,0.8581419640837957
803,0.8569578801990085
804,0.8557563748790069
805,0.8545373414965385
806,0.8533006734243497
807,0.8520462640351877
808,0.8507740067017995
809,0.8494837947969321
810,0.8481755216933325
811,0.8468490807637479
812,0.845504365380925
813,0.8441412689176109
814,0.8427596847465527
815,0.8413595062404972
816,0.8399406267721916
817,0.8385029397143827
818,0.8370463384398178
819,0.8355707163212436
820,0.8340759667314073
821,0.8325619830430556
822,0.8310286586289359
823,0.8294758868617949
824,0.8279035611143799
825,0.8263115747594376
826,0.8246998211697149
827,0.8230681937179594
828,0.8214165857769173
829,0.8197448907193363
830,0.8180530019179632
831,0.8163408127455446
832,0.814608216574828
833,0.8128551067785603
834,0.8110813767294881
835,0.809286919800359
836,0.8074716293639196
837,0.8056353987929171
838,0.8037781214600982
839,0.8018996907382103
840,0.8
841,0.7980789746548669
842,0.7961366682588185
843,0.7941731664045151
844,0.792188554684617
845,0.7901829186917836
846,0.7881563440186757
847,0.786108916257953
848,0.7840407210022755
849,0.7819518438443034
850,0.7798423703766968
851,0.7777123861921158
852,0.7755619768832206
853,0.7733912280426707
854,0.7712002252631269
855,0.7689890541372488
856,0.7667578002576965
857,0.7645065492171306
858,0.7622353866082104
859,0.7599443980235966
860,0.7576336690559488
861,0.7553032852979275
862,0.7529533323421924
863,0.7505838957814039
864,0.7481950612082218
865,0.7457869142153065
866,0.7433595403953177
867,0.7409130253409156
868,0.7384474546447604
869,0.7359629138995123
870,0.7334594886978307
871,0.7309372646323762
872,0.7283963272958092
873,0.7258367622807891
874,0.7232586551799765
875,0.720662091586031
876,0.7180471570916132
877,0.7154139372893826
878,0.7127625177719997
879,0.7100929841321243
880,0.707405421962417
881,0.704699916855537
882,0.7019765544041452
883,0.699235420200901
884,0.6964765998384652
885,0.6937001789094973
886,0.6909062430066575
887,0.6880948777226061
888,0.6852661686500027
889,0.682420201381508
890,0.6795570615097817
891,0.6766768346274841
892,0.6737796063272746
893,0.6708654622018143
894,0.6679344878437625
895,0.6649867688457797
896,0.6620223908005256
897,0.6590414393006605
898,0.6560439999388444
899,0.6530301583077378
900,0.65
901,0.6469536496448762
902,0.6438913880179503
903,0.6408135349313897
904,0.6377204101973636
905,0.6346123336280395
906,0.6314896250355863
907,0.6283526042321715
908,0.6252015910299642
909,0.6220369052411319
910,0.6188588666778435
911,0.6156677951522666
912,0.6124640104765702
913,0.6092478324629218
914,0.6060195809234904
915,0.6027795756704435
916,0.5995281365159498
917,0.5962655832721779
918,0.5929922357512952
919,0.5897084137654708
920,0.5864144371268722
921,0.5831106256476686
922,0.5797972991400271
923,0.576474777416117
924,0.5731433802881056
925,0.569803427568162
926,0.5664552390684541
927,0.5630991346011504
928,0.5597354339784184
929,0.5563644570124274
930,0.5529865235153448
931,0.5496019532993391
932,0.5462110661765792
933,0.5428141819592324
934,0.5394116204594677
935,0.5360037014894528
936,0.5325907448613563
937,0.5291730703873463
938,0.5257509978795913
939,0.5223248471502591
940,0.5188949380115184
941,0.5154615902755372
942,0.5120251237544841
943,0.5085858582605266
944,0.505144113605834
945,0.5017002096025737
946,0.49825446606291407
947,0.49480720279902407
948,0.49135873962307114
949,0.4879093963472241
950,0.4844594927836507
951,0.4810093487445198
952,0.477559284041999
953,0.4741096184882572
954,0.470660671895462
955,0.4672127640757824
956,0.46376621484138575
957,0.4603213440044413
958,0.45687847137711646
959,0.4534379167715802
960,0.45
961,0.44656499158044294
962,0.44313296485456555
963,0.4397039438699253
964,0.4362779526740771
965,0.4328550153145768
966,0.42943515583897934
967,0.42601839829484217
968,0.4226047667297202
969,0.41919428519116925
970,0.41578697772674433
971,0.41238286838400273
972,0.4089819812104995
973,0.40558434025379037
974,0.4021899695614305
975,0.39879889318097705
976,0.3954111351599851
977,0.39202671954600965
978,0.388645670386608
979,0.3852680117293353
980,0.3818937676217471
981,0.37852296211139863
982,0.3751556192458471
983,0.37179176307264755
984,0.3684314176393557
985,0.36507460699352673
986,0.3617213551827178
987,0.358371686254484
988,0.35502562425638107
989,0.35168319323596403
990,0.34834441724079024
991,0.3450093203184147
992,0.34167792651639245
993,0.3383502598822808
994,0.33502634446363466
995,0.3317062043080099
996,0.3283898634629616
997,0.325077345976047
998,0.32176867589482105
999,0.31846387726683967
1000,0.3151629741396578
1001,0.31186599056083275
1002,0.3085729505779196
1003,0.3052838782384741
1004,0.3019987975900513
1005,0.29871773268020835
1006,0.2954407075565004
1007,0.2921677462664826
1008,0.2888988728577121
1009,0.28563411137774386
1010,0.2823734858741338
1011,0.27911702039443687
1012,0.27586473898621033
